from 'A' to 'B'
-----------------------------------------------
x,y,g,h,f
1,15,0.0,11.0,11.0
1,14,1.0,10.0,11.0
1,13,2.0,9.0,11.0
1,12,3.0,8.0,11.0
1,11,4.0,7.0,11.0
1,10,5.0,6.0,11.0
1,9,6.0,5.0,11.0
1,8,7.0,4.0,11.0
2,9,7.0,4.0,11.0
3,9,8.0,3.0,11.0
2,10,6.0,5.0,11.0
3,10,7.0,4.0,11.0
4,10,8.0,3.0,11.0
5,10,9.0,2.0,11.0
5,9,10.0,1.0,11.0
5,8,11.0,0.0,11.0
-----------------------------------------------
from 'A' to 'C'
-----------------------------------------------
x,y,g,h,f
1,15,0.0,14.0,14.0
1,14,1.0,13.0,14.0
1,13,2.0,12.0,14.0
1,12,3.0,11.0,14.0
1,11,4.0,10.0,14.0
1,10,5.0,9.0,14.0
1,9,6.0,8.0,14.0
1,8,7.0,7.0,14.0
1,7,8.0,6.0,14.0
2,7,9.0,5.0,14.0
2,9,7.0,7.0,14.0
2,10,6.0,8.0,14.0
2,15,1.0,13.0,14.0
3,7,10.0,6.0,16.0
3,9,8.0,8.0,16.0
3,10,7.0,9.0,16.0
3,15,2.0,14.0,16.0
4,10,8.0,10.0,18.0
3,11,8.0,10.0,18.0
4,15,3.0,15.0,18.0
5,10,9.0,11.0,20.0
5,9,10.0,10.0,20.0
5,8,11.0,9.0,20.0
5,7,12.0,8.0,20.0
5,6,13.0,7.0,20.0
5,5,14.0,6.0,20.0
4,5,15.0,5.0,20.0
3,5,16.0,4.0,20.0
2,5,17.0,3.0,20.0
4,11,9.0,11.0,20.0
3,12,9.0,11.0,20.0
5,15,4.0,16.0,20.0
1,5,18.0,4.0,22.0
6,5,15.0,7.0,22.0
6,4,16.0,6.0,22.0
6,3,17.0,5.0,22.0
6,2,18.0,4.0,22.0
5,2,19.0,3.0,22.0
4,2,20.0,2.0,22.0
3,2,21.0,1.0,22.0
2,2,22.0,0.0,22.0
-----------------------------------------------
from 'A' to 'D'
-----------------------------------------------
x,y,g,h,f
1,15,0.0,24.0,24.0
1,14,1.0,23.0,24.0
1,13,2.0,22.0,24.0
1,12,3.0,21.0,24.0
1,11,4.0,20.0,24.0
1,10,5.0,19.0,24.0
1,9,6.0,18.0,24.0
1,8,7.0,17.0,24.0
1,7,8.0,16.0,24.0
2,7,9.0,15.0,24.0
3,7,10.0,14.0,24.0
2,9,7.0,17.0,24.0
3,9,8.0,16.0,24.0
2,10,6.0,18.0,24.0
3,10,7.0,17.0,24.0
4,10,8.0,16.0,24.0
5,10,9.0,15.0,24.0
5,9,10.0,14.0,24.0
5,8,11.0,13.0,24.0
5,7,12.0,12.0,24.0
5,6,13.0,11.0,24.0
5,5,14.0,10.0,24.0
6,5,15.0,9.0,24.0
6,4,16.0,8.0,24.0
6,3,17.0,7.0,24.0
6,2,18.0,6.0,24.0
7,2,19.0,5.0,24.0
8,2,20.0,4.0,24.0
9,2,21.0,3.0,24.0
10,2,22.0,2.0,24.0
7,3,18.0,6.0,24.0
8,3,19.0,5.0,24.0
9,3,20.0,4.0,24.0
10,3,21.0,3.0,24.0
7,4,17.0,7.0,24.0
8,4,18.0,6.0,24.0
9,4,19.0,5.0,24.0
10,4,20.0,4.0,24.0
7,5,16.0,8.0,24.0
8,5,17.0,7.0,24.0
9,5,18.0,6.0,24.0
10,5,19.0,5.0,24.0
6,6,14.0,10.0,24.0
7,6,15.0,9.0,24.0
8,6,16.0,8.0,24.0
9,6,17.0,7.0,24.0
10,6,18.0,6.0,24.0
6,7,13.0,11.0,24.0
7,7,14.0,10.0,24.0
8,7,15.0,9.0,24.0
9,7,16.0,8.0,24.0
10,7,17.0,7.0,24.0
6,10,10.0,14.0,24.0
7,10,11.0,13.0,24.0
